year,torneo,fase,jornada,local,goles_local,goles_visitante,visitante,fecha,dia,arbitro,pos_local,pos_visitante,gana_local,empate,gana_visitante
2024,liga-dimayor-apertura,todos contra todos,10,Envigado FC,,,Jaguares De Córdoba,3/1/24,,,11,9,,,
2024,liga-dimayor-apertura,todos contra todos,10,Boyaca Chico FC,,,Tolima,3/1/24,,,18,1,,,
2024,liga-dimayor-apertura,todos contra todos,10,Deportivo Cali,,,Once Caldas,3/1/24,,,5,11,,,
2024,liga-dimayor-apertura,todos contra todos,10,Millonarios,,,La Equidad,3/1/24,,,13,2,,,
2024,liga-dimayor-apertura,todos contra todos,10,Deportivo Pereira,,,América de Cali,3/1/24,,,3,16,,,
2024,liga-dimayor-apertura,todos contra todos,10,CD Junior,,,Atlético Nacional,3/1/24,,,6,17,,,
2024,liga-dimayor-apertura,todos contra todos,10,Atletico Bucaramanga,,,Patriotas Boyaca,3/1/24,,,8,19,,,
2024,liga-dimayor-apertura,todos contra todos,10,Independiente Medellin,,,Rionegro Aguilas,3/1/24,,,15,7,,,
2024,liga-dimayor-apertura,todos contra todos,10,Alianza FC,,,Independiente Santa Fe,3/1/24,,,14,4,,,
2024,liga-dimayor-apertura,todos contra todos,10,Deportivo Pasto,,,Fortaleza FC,3/1/24,,,20,10,,,